# Formato por linea:
# group|nombre_ubicacion|google_maps_url|max_comment_age_days(opcional)|fallback_limit(opcional)|scroll_cycles(opcional)
# Si pones solo URL, se toma group=client y el nombre se deriva desde la URL.
# proyecto|group|nombre_ubicacion|google_maps_url|max_comment_age_days(opcional)|fallback_limit(opcional)|scroll_cycles(opcional)
La Europea|client||https://www.google.com/maps/place/La+Europea+Interlomas/@19.4023394,-99.4195288,12z/data=!3m1!5s0x85d2013585d57647:0x1e82ca140590bf07!4m10!1m2!2m1!1sLa+Europea!3m6!1s0x85d206d30edb4369:0x4a9ee33aefc3a668!8m2!3d19.4023394!4d-99.2753332!15sCgpMYSBFdXJvcGVhIgOIAQFaDCIKbGEgZXVyb3BlYZIBDGxpcXVvcl9zdG9yZeABAA!16s%2Fg%2F1tywy90k?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D|||
La Europea|client||https://www.google.com/maps/place/La+Europea+Arcos+Bosques/@19.4023394,-99.4277685,12z/data=!4m10!1m2!2m1!1sla+europea!3m6!1s0x85d20145aa66f147:0xc5cb3f8c44bfb83b!8m2!3d19.3869124!4d-99.2526408!15sCgpsYSBldXJvcGVhIgOIAQFaDCIKbGEgZXVyb3BlYZIBCndpbmVfc3RvcmXgAQA!16s%2Fg%2F11t7pkggnp?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D|||
La Europea|client||https://www.google.com/maps/place/La+Europea/@19.4023394,-99.4277685,12z/data=!3m1!5s0x85d200cc06c45009:0x32fc18816bb8e78c!4m10!1m2!2m1!1sla+europea!3m6!1s0x85d200ceb5f9dd99:0xb0e1e7a87659ee7c!8m2!3d19.3611807!4d-99.2739965!15sCgpsYSBldXJvcGVhIgOIAQFaDCIKbGEgZXVyb3BlYZIBCndpbmVfc3RvcmXgAQA!16s%2Fg%2F1tdk5jdy?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D|||
La Europea|client||https://www.google.com/maps/place/La+Europea+Prado+Norte/@19.4023394,-99.4277685,12z/data=!4m10!1m2!2m1!1sla+europea!3m6!1s0x85d2018afc90daf3:0xe9118fb19e0b8dd9!8m2!3d19.4265091!4d-99.2141383!15sCgpsYSBldXJvcGVhIgOIAQFaDCIKbGEgZXVyb3BlYZIBDGxpcXVvcl9zdG9yZeABAA!16s%2Fg%2F11gg95bp_h?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D|||
La Europea|client||https://www.google.com/maps/place/La+europea/@19.4023394,-99.4277685,12z/data=!4m10!1m2!2m1!1sla+europea!3m6!1s0x85d20100348def3d:0x7821126188d760e6!8m2!3d19.4292926!4d-99.1938867!15sCgpsYSBldXJvcGVhIgOIAQGSAQ9zaG9wcGluZ19jZW50ZXLgAQA!16s%2Fg%2F11vy_14rlg?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D|||
La Europea|client||https://www.google.com/maps/place/La+Europea+Toreo+Tienda/@19.4023394,-99.4277685,12z/data=!3m1!5s0x85d2023f4972a061:0x89e01df8fd56397!4m10!1m2!2m1!1sla+europea!3m6!1s0x85d2023f4bff7fa7:0xf2cee1b0ebdc49b5!8m2!3d19.4520645!4d-99.21725!15sCgpsYSBldXJvcGVhIgOIAQFaDCIKbGEgZXVyb3BlYZIBCndpbmVfc3RvcmXgAQA!16s%2Fg%2F11b8t6gtc9?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D|||
La Europea|client||https://www.google.com/maps/place/La+Europea+Roma+Norte/@19.4168489,-99.3252661,12z/data=!4m10!1m2!2m1!1sla+europea!3m6!1s0x85d1ff467dd9af23:0x55e92b754a346267!8m2!3d19.4168489!4d-99.1728308!15sCgpsYSBldXJvcGVhIgOIAQFaDCIKbGEgZXVyb3BlYZIBCndpbmVfc3RvcmXgAQA!16s%2Fg%2F11b7xjqt3n?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D|||
La Europea|competitor_1||https://www.google.com/maps/place/Bodegas+Alianza/@19.358804,-99.4464463,12z/data=!4m10!1m2!2m1!1sBodegas+Alianza!3m6!1s0x85d207393e893651:0x65a99b7a59221d87!8m2!3d19.3588042!4d-99.2940107!15sCg9Cb2RlZ2FzIEFsaWFuemEiA4gBAVoRIg9ib2RlZ2FzIGFsaWFuemGSAQxsaXF1b3Jfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlBObGw2YW1KQkVBReABAPoBBAgAEEE!16s%2Fg%2F1pwfx08md?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D|||
La Europea|competitor_1||https://www.google.com/maps/place/Bodegas+Alianza/@19.358804,-99.4464463,12z/data=!4m10!1m2!2m1!1sBodegas+Alianza!3m6!1s0x85d201ceefd105cd:0xa3b59b7645f62d47!8m2!3d19.393487!4d-99.260272!15sCg9Cb2RlZ2FzIEFsaWFuemEiA4gBAVoRIg9ib2RlZ2FzIGFsaWFuemGSAQxsaXF1b3Jfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjRhVzl1TmtsbkVBReABAPoBBAgAEEc!16s%2Fg%2F11fr4hc5rc?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D|||
La Europea|competitor_1||https://www.google.com/maps/place/Bodegas+Alianza/@19.4012554,-99.3552887,12z/data=!4m10!1m2!2m1!1sBodegas+Alianza!3m6!1s0x85d201c9bfab9c89:0x785adb60dd705a83!8m2!3d19.3899116!4d-99.2105045!15sCg9Cb2RlZ2FzIEFsaWFuemEiA4gBAVoRIg9ib2RlZ2FzIGFsaWFuemGSAQxsaXF1b3Jfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUm9hazFIWVdOUkVBReABAPoBBAgAEC8!16s%2Fg%2F11c0tb2179?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D|||
